Time,stamp.secs,stamp.nsecs,left,right
1609131316.7182808,1609131316,717793941,-6.0,4.0
1609131316.8177378,1609131316,817018032,-7.0,3.0
1609131316.9160485,1609131316,914802074,-7.0,3.0
1609131317.0082135,1609131317,6377935,-7.0,3.0
1609131317.1152291,1609131317,114725112,-7.0,3.0
1609131317.212256,1609131317,210268974,-7.0,3.0
1609131317.3153543,1609131317,314358949,-7.0,4.0
1609131317.4100068,1609131317,408895969,-7.0,4.0
1609131317.5145535,1609131317,513587951,-7.0,4.0
1609131317.6139398,1609131317,612940073,-7.0,4.0
1609131317.7144222,1609131317,712636947,-7.0,4.0
1609131317.8183596,1609131317,815994977,-6.0,3.0
1609131317.9162579,1609131317,915752887,-6.0,3.0
1609131318.0159512,1609131318,13626098,-2.0,3.0
1609131318.1107614,1609131318,109333038,-2.0,0.0
1609131318.2117457,1609131318,210517883,-2.0,0.0
1609131318.3177798,1609131318,317292928,0.0,0.0
1609131318.4195426,1609131318,417310953,0.0,0.0
1609131318.520838,1609131318,519932031,0.0,0.0
1609131318.6219454,1609131318,619875907,0.0,0.0
1609131318.7220929,1609131318,719819068,0.0,0.0
1609131318.8139188,1609131318,812053918,0.0,0.0
1609131318.9164462,1609131318,914861917,0.0,0.0
1609131319.0061734,1609131319,5213022,0.0,0.0
1609131319.1153996,1609131319,113145112,0.0,0.0
1609131319.2028852,1609131319,202339887,0.0,0.0
1609131319.3112452,1609131319,308360099,0.0,0.0
1609131319.4069507,1609131319,404835939,0.0,0.0
1609131319.5099914,1609131319,508028030,0.0,0.0
1609131319.60699,1609131319,605998039,0.0,0.0
1609131319.7093604,1609131319,708291053,0.0,0.0
1609131319.809031,1609131319,808060884,0.0,0.0
1609131319.9124157,1609131319,910995960,0.0,0.0
1609131320.0032833,1609131320,2707958,0.0,0.0
1609131320.1063204,1609131320,103976011,0.0,0.0
1609131320.2027822,1609131320,202322959,0.0,0.0
1609131320.302542,1609131320,301071882,0.0,0.0
1609131320.4104977,1609131320,409204959,0.0,0.0
1609131320.5012925,1609131320,500355958,0.0,0.0
1609131320.6105652,1609131320,609157085,0.0,0.0
1609131320.707149,1609131320,706149101,0.0,0.0
1609131320.8102732,1609131320,809289932,0.0,0.0
1609131320.9058733,1609131320,904383897,0.0,0.0
1609131321.0127144,1609131321,11693000,0.0,0.0
1609131321.1107464,1609131321,109271049,0.0,0.0
1609131321.2098782,1609131321,208656072,0.0,0.0
1609131321.3127449,1609131321,312293052,0.0,0.0
1609131321.4103477,1609131321,408502101,0.0,0.0
1609131321.5181432,1609131321,517513990,0.0,0.0
1609131321.6249084,1609131321,622796058,0.0,0.0
1609131321.7262797,1609131321,723297119,0.0,0.0
1609131321.828947,1609131321,827553987,0.0,0.0
1609131321.927722,1609131321,925462007,0.0,0.0
1609131322.024735,1609131322,22644042,0.0,0.0
1609131322.1190112,1609131322,118021011,0.0,0.0
1609131322.2337747,1609131322,228702068,0.0,0.0
1609131322.3350885,1609131322,333823919,0.0,0.0
1609131322.4381242,1609131322,435425043,0.0,0.0
1609131322.5389955,1609131322,537689924,0.0,0.0
1609131322.634045,1609131322,633564949,0.0,0.0
1609131322.7304773,1609131322,728267908,0.0,0.0
1609131322.8258297,1609131322,825387001,0.0,0.0
1609131322.9278975,1609131322,926013946,0.0,0.0
1609131323.0208106,1609131323,18515110,0.0,0.0
1609131323.1133504,1609131323,112087011,0.0,0.0
1609131323.2083766,1609131323,207551956,0.0,0.0
1609131323.3163812,1609131323,314920902,0.0,0.0
1609131323.4118462,1609131323,410103082,0.0,0.0
1609131323.5107546,1609131323,509960889,0.0,0.0
1609131323.6059928,1609131323,605463027,0.0,0.0
1609131323.7078986,1609131323,706634998,0.0,0.0
1609131323.812275,1609131323,811269998,0.0,0.0
1609131323.9131382,1609131323,911676883,0.0,0.0
1609131324.0049648,1609131324,2804040,0.0,0.0
1609131324.096035,1609131324,94907045,0.0,0.0
1609131324.2046127,1609131324,204090118,0.0,0.0
1609131324.3161595,1609131324,314606904,0.0,0.0
1609131324.4074216,1609131324,406788110,0.0,0.0
1609131324.5085819,1609131324,507175922,0.0,0.0
1609131324.6077142,1609131324,606976985,0.0,0.0
1609131324.7087517,1609131324,707727909,0.0,0.0
1609131324.8035636,1609131324,801656961,0.0,0.0
1609131324.9098706,1609131324,909404993,0.0,0.0
1609131325.0147233,1609131325,12511968,0.0,0.0
1609131325.1176155,1609131325,117158889,0.0,0.0
1609131325.21411,1609131325,212681055,0.0,0.0
1609131325.3053153,1609131325,303736925,0.0,0.0
1609131325.4108012,1609131325,409898042,0.0,0.0
1609131325.5145636,1609131325,512845993,0.0,0.0
1609131325.6181095,1609131325,615921020,0.0,0.0
1609131325.7146225,1609131325,714127063,0.0,0.0
1609131325.8076255,1609131325,806299924,0.0,0.0
1609131325.9156086,1609131325,913491010,0.0,0.0
1609131326.0075965,1609131326,5520105,0.0,0.0
1609131326.1127875,1609131326,111134052,0.0,0.0
1609131326.2136548,1609131326,211464881,0.0,0.0
1609131326.312359,1609131326,311275959,0.0,0.0
1609131326.404889,1609131326,403213024,0.0,0.0
1609131326.5107687,1609131326,508337020,0.0,0.0
1609131326.6123,1609131326,611390113,0.0,0.0
1609131326.71028,1609131326,708416938,0.0,0.0
1609131326.8117275,1609131326,809767007,0.0,0.0
1609131326.9071996,1609131326,905808925,0.0,0.0
1609131327.0026455,1609131327,1796007,0.0,0.0
1609131327.1098235,1609131327,109126091,0.0,0.0
1609131327.2048247,1609131327,203808069,0.0,0.0
1609131327.3071592,1609131327,306662082,0.0,0.0
1609131327.415171,1609131327,412846088,0.0,0.0
1609131327.5110466,1609131327,510251045,0.0,0.0
1609131327.6100569,1609131327,609150886,0.0,0.0
1609131327.7107882,1609131327,709788084,0.0,0.0
1609131327.8175344,1609131327,815071105,0.0,0.0
1609131327.915895,1609131327,913444995,0.0,0.0
1609131328.012818,1609131328,10814905,0.0,0.0
1609131328.1024907,1609131328,101993083,0.0,0.0
1609131328.2131739,1609131328,212702035,0.0,0.0
1609131328.3215833,1609131328,320693969,0.0,0.0
1609131328.411849,1609131328,410801887,0.0,0.0
1609131328.5049977,1609131328,503717899,0.0,0.0
1609131328.6115923,1609131328,610601902,0.0,0.0
1609131328.7069743,1609131328,705426931,0.0,0.0
1609131328.8203762,1609131328,811774015,0.0,0.0
1609131328.9102216,1609131328,908358097,-2.0,2.0
1609131329.004787,1609131329,3215074,-2.0,2.0
1609131329.116434,1609131329,115940093,-6.0,4.0
1609131329.2147095,1609131329,213684082,-6.0,4.0
